CID,amount
N00026288,67350
N00026289,759901
N00026290,5800
N00026292,3804
N00026293,23000
N00026295,11500
N00026296,1197838
N00026297,277183
N00026298,27150
N00026299,13441
N00026300,2000
N00026302,1500
N00026303,57787
N00026304,1000
N00026306,500
N00026307,3000
N00026308,500
N00026310,189060
N00026312,1000
N00026314,1114962
N00026315,1000
N00026316,1610101
N00026317,82750
N00026318,121124
N00026322,4000
N00026324,2000
N00026325,789530
N00026326,14362
N00026327,5790927
N00026328,3000
N00026329,1370486
N00026330,51901
N00026331,1750
N00026335,42000
N00026336,1700
N00026337,83141
N00026339,4000
N00026340,146757
N00026341,2868289
N00026343,14250
N00026346,2000
N00026347,7500
N00026348,2183242
N00026349,280
N00026353,8000
N00026354,100
N00026355,500
N00026356,59501
N00026358,21100
N00026359,14525
N00026364,2000
N00026365,4000
N00026366,2000
N00026367,1000
N00026369,52836
N00026371,500
N00026373,1000
N00026374,1300
N00026375,7089
N00026376,875145
N00026377,119714
N00026379,3250
N00026381,3950
N00026382,25282
N00026384,146119
N00026386,21030
N00026388,1000
N00026389,18000
N00026390,1500
N00026391,3000
N00026393,51082
N00026395,2350
N00026396,56
N00026397,6500
N00026400,5
N00026417,27481
N00026418,167
N00026419,235333
N00026420,23760
N00026422,29010
N00026423,16300
N00026425,454551
N00026426,250
N00026430,27367
N00026431,4583370
N00026432,100
N00026434,275289
N00026435,1513542
N00026436,1618079
N00026437,100
N00026438,1750
N00026439,10250
N00026440,14750
N00026441,323680
N00026442,11000
N00026445,138346
N00026446,7000
N00026452,62095
N00026453,170720
N00026454,1500
N00026456,1500
N00026457,737811
N00026459,6250
N00026460,301084
N00026461,7000
N00026462,1631561
N00026464,6106
N00026469,28996
N00026470,23169
N00026473,9858
N00026475,1830746
N00026476,8000
N00026481,580285
N00026482,4897
N00026489,8500
N00026492,2935820
N00026496,18008
N00026497,1512
N00026498,1547
N00026499,5500
N00026501,2547
N00026502,2000
N00026504,715
N00026507,5000
N00026511,2150
N00026513,43
N00026515,965459
N00026518,43
N00026521,5191
N00026528,9500
N00026532,1000
N00026536,91
N00026538,880
N00026546,952
N00026550,904
N00026551,2547
N00026557,381939
N00026559,5000
N00026560,3000
N00026563,84150
N00026567,12000
N00026575,27142
N00026577,1450
N00026578,358
N00026580,6911
N00026581,1300
N00026582,4000
N00026584,358
N00026585,22859
N00026586,176227
N00026589,3737857
N00026591,2663840
N00026592,20485
N00026595,1931824
N00026596,3000
N00026597,1628654
N00026600,10244
N00026617,500
N00026621,35322
N00026623,38898
N00026626,1000
N00026627,547241
N00026629,55563
N00026630,67000
N00026631,624193
N00026632,129721
N00026634,29652
N00026635,187932
N00026636,565715
N00026639,500
N00026641,104859
N00026642,59300
N00026643,17500
N00026649,535
N00026651,137236
N00026653,13150
N00026656,12500
N00026660,3231215
N00026661,2803288
N00026662,2100
N00026664,451451
N00026666,500
N00026671,1000
N00026675,250
N00026681,7000
N00026685,9000
N00026686,223560
N00026688,1000
N00026699,1000
N00026702,3000
N00026704,250
N00026705,4000
N00026708,3000
N00026710,379017
N00026713,11250
N00026714,229792
N00026723,2953
N00026724,18500
N00026727,44817
N00026732,20548
N00026733,69874
N00026739,4500
N00026742,1112616
N00026743,7690
N00026747,2556
N00026748,6054874
N00026752,4000
N00026754,5589
N00026764,68250
N00026767,393
N00026768,100
N00026769,4542
N00026777,6923
N00026780,3000
N00026782,3000
N00026783,1000
N00026786,433638
N00026787,17000
N00026788,17600
N00026789,24500
N00026790,1034084
N00026791,238937
N00026792,44252
N00026793,43260
N00026804,15601
N00026805,5000
N00026807,3750
N00026808,31000
N00026816,2000
N00026817,901
N00026819,6500
N00026821,500
N00026823,136756
N00026825,17145
N00026826,6000
N00026829,8866
N00026831,4000
N00026832,5650
N00026834,418
N00026840,3850168
N00026844,164165
N00026846,18057
N00026847,2000
N00026857,6360
N00026858,4773
N00026859,335799
N00026860,250
N00026861,10000
N00026862,28100
N00026863,2500
N00026871,3400
N00026872,10250
N00026879,12627
N00026882,677644
N00026884,5750
N00026885,1680222
N00026886,62600
N00026887,6000
N00026892,5816295
N00026896,542261
N00026901,5000
N00026909,1369999
N00026911,3250
N00026912,1000
N00026914,343726
N00026917,148951
N00026919,1000
N00026923,36979
N00026926,15153
N00026930,20000
N00026932,36539
N00026933,5000
N00026934,27200
N00026935,1300
N00026936,3547
N00026937,2500
N00026938,21000
N00026939,20183
N00026940,20000
N00026941,6250
N00026943,34150
N00026945,28678
N00026946,3000
N00026947,250
N00026951,33750
N00026961,1500
N00026982,500
N00026983,16904
N00026985,70154
N00026992,5500
N00026993,250
N00026995,2545773
